impl,n,mean,std,min,max
naive,64,0.04315472419839352,0.0009246743169570361,0.0418085749988677,0.04427389799820958
naive,128,0.3486519026017049,0.03362660565457618,0.3249150070041651,0.4064136539964238
naive,256,2.5494448605983053,0.08693391181610582,2.479740638998919,2.6903828289941885
naive,512,21.046011828999326,0.06058692546929845,20.96555551399797,21.10913960000471
blocked,64,0.04128280699951574,0.00018236876057721124,0.041137380998407025,0.04157473400118761
blocked,128,0.3383361321990378,0.005974891816408049,0.33148502300173277,0.3477481709996937
blocked,256,2.7229478137975094,0.03290603107934419,2.6869936609946308,2.765048843000841
blocked,512,23.00669862780196,0.18729390367003032,22.733242519003397,23.225705482000194
numpy,64,0.0020890439991489984,0.002723445639635421,0.0008265650030807592,0.006960216000152286
numpy,128,0.0038186246005352587,0.000967871334557473,0.003309410996735096,0.005548109002120327
numpy,256,0.017121117199712897,0.0024290630763972405,0.01481473299645586,0.020398156004375778
numpy,512,0.07581495119957253,0.016730342739368957,0.06561621400032891,0.10542040099971928
