n,nthreads,mem_estimate,numpy_time_s,numpy_std_s,parallel_time_s,parallel_std_s,basic_time_s,basic_std_s,diff_basic_vs_numpy_maxabs,numba_time_s,numba_std_s,diff_numba_vs_numpy_maxabs,speedup_numpy_over_basic,speedup_parallel_over_basic,efficiency_parallel,speedup_parallel_over_numpy,efficiency_parallel_vs_numpy
128,8,384.0KB,0.001424322680880626,0.0016742806442351487,0.0031854480039328337,0.00173202959538711,0.44379655964439735,0.022467897529189557,1.4210854715202004e-14,0.0008830273485121628,7.05728864707451e-05,0.0,311.5842818496776,139.31998233732745,17.41499779216593,,
256,8,1.5MB,0.0015243123440692823,0.0011549391705582,0.0017964806756936014,0.0001284057809389279,2.6921965046591745,0.04657481448598343,3.552713678800501e-14,0.011083699335965017,0.0003182706776727265,0.0,1766.1711624483244,1498.594747544249,187.32434344303113,,
512,8,6.0MB,0.003357929332802693,0.0004934301671607823,0.006475020665675402,0.0002526445057032142,,,,0.09085686535884936,0.00796793932414285,1.7053025658242404e-13,,,,0.5185974695962505,0.06482468369953132
